"Ê¡","ÊÐ","ÏØ","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X39","X40","X41","X42","X43","total"
11,1101,110101,0,0,9411,0,1253,110273,0,0,55698,8523,33239,1319,0,18600,3496,0,0,1069,1161,0,0,10706,1932,27731,22219,2196,592022,320024,0,0,1220872
11,1101,110102,0,25524,0,0,0,30029,0,0,0,1960,388864,10665,0,170226,0,0,1364,7564,66054,0,93618,1130,24323,201164,12042,51523,255797,51475,1497,0,1394819
11,1101,110103,11841,6746,0,0,3052,190641,697,0,7894,0,492,762,0,0,651561,0,0,3808,1974,0,0,7340,6238,184494,0,0,27994,608362,3950,0,1717846
11,1101,110104,52111,21854,0,0,6225,0,0,0,0,6213,964538,3122,0,0,1571,0,0,2082,0,0,0,4319,3532,6536,14552,10545,1944,23413,0,0,1122557
11,1101,110105,106274,149386,11693,1801712,494784,288478,1858,20168,172812,63173,178388,23759,465555,1407664,1498978,883,9003,70140,778126,3037,16019,376198,482881,683705,293567,1258199,2105448,1274149,51605,0,14087642
11,1101,110106,136363,112122,30569,4492,42378,27061,37993,204219,8002,12363,131966,2458,1011,228494,697438,0,70814,72515,272991,186002,193958,112726,516230,518783,1589546,991083,336272,261024,720071,0,7518944
11,1101,110107,1947,2259,0,0,13427,14144,0,0,0,0,13154,0,6230,59179,2989,0,0,21660,71324,22988572,6130,26146,340777,40249,27039,592207,419836,17571,451,65618,24730909
11,1101,110108,320526,249206,124681,0,46691,55179,4336,0,9521,18537,246968,0,78170,1682676,1155672,0,67080,104410,1163271,106178,19040,669635,1824815,2227996,929772,1164341,12704334,2464299,1550424,7145,28994903
11,1101,110109,3547,2614,6551,0,23636,49810,3137,0,1881,0,14418,0,0,3939,119806,0,0,5055,119546,0,494,19068,123092,182977,3448,35147,0,13176,4825,0,736167
11,1101,110111,31205,45077,110418,0,87351,20338,1713,439,689,20567,3575,0,4771406,306126,115322,0,26657,92177,718886,0,19908,143645,105798,438186,79615,25435,5846,36513,16340,0,7223232
11,1101,110112,167073,180978,2608,0,177051,204129,14029,31040,129001,74568,380282,154381,8592,918540,96451,1424,158274,94824,296914,38771,88995,581526,464440,564474,747487,449543,144938,103616,125320,338,6399607
11,1101,110113,541170,419676,1516917,0,171153,591621,3252,15585,49617,126111,269934,53673,4569,169101,266337,2012,2587,236548,332300,187035,22926,368429,1615088,110513,6419568,389529,2677395,151719,38331,0,16752696
11,1101,110114,195482,65424,19815,0,211705,30827,9703,3551,125964,10940,143051,18707,1975,479555,1021577,16492,2570,112609,584922,65051,138010,185449,720198,1112613,6086560,710286,595389,233343,21947,0,12923715
11,1101,110115,181726,1401092,281472,0,319672,525026,33627,11241,379076,1190209,705726,88441,356165,1755634,2417162,86041,25550,329011,595193,19440,85468,1012035,1963846,2110722,2181712,2657891,16849415,1493838,232473,11058,39299962
11,1101,110116,97820,624297,1368703,0,7729,76517,0,0,58965,11160,21968,3208,0,93567,25219,16135,15400,300562,167736,0,55726,392483,68359,53635,255551,150653,75357,3665,0,2940,3947355
